student_id,student_name,team_id,tasks_assigned,tasks_completed,avg_task_hours,completion_rate,commits,prs_opened,prs_merged,code_lines_changed,pr_success_rate,peer_rating,meetings_attended,total_meetings,attendance_rate,week1_progress,week2_progress,week3_progress,week4_progress,progress_improvement,contribution_score,at_risk,risk_reason
S001,Aarav,T01,6,4,6.2,0.6666666666666666,18,8,5,109.0,0.625,3.22,9.0,10,0.9,19,31,57,78,59,44.70400459700675,False,
S002,Diya,T01,12,9,6.8,0.75,31,13,13,471.0,1.0,4.34,7.0,10,0.7,19,35,50,74,55,62.570327632351926,False,
S003,Ishan,T01,10,7,4.44,0.7,25,12,9,640.0,0.75,4.93,9.0,10,0.9,16,30,44,63,47,61.665417707466,False,
S004,Meera,T01,12,11,4.82,0.9166666666666666,30,12,10,823.0,0.8333333333333334,3.595,8.0,10,0.8,14,33,53,69,55,64.83329590215196,False,
S005,Rohan,T01,8,7,6.09,0.875,22,6,4,622.0,0.6666666666666666,3.45,7.0,10,0.7,16,29,47,73,57,52.57418447426517,False,
S006,Anaya,T02,12,8,6.55,0.6666666666666666,15,4,2,458.0,0.5,3.69,8.0,10,0.8,26,41,57,78,52,44.21935620329479,False,
S007,Kabir,T02,8,5,3.19,0.625,10,4,3,251.0,0.75,2.91,7.0,10,0.7,21,43,60,78,57,31.312051622666225,True,Low Contribution
S008,Sneha,T02,11,7,4.42,0.6363636363636364,20,6,4,336.0,0.6666666666666666,3.33,7.0,10,0.7,23,44,68,82,59,42.253803737632,False,
S009,Vihaan,T02,8,6,2.3,0.75,10,4,3,50.0,0.75,2.67,6.0,10,0.6,16,43,60,80,64,31.944935217903414,True,Low Contribution
S010,Nisha,T02,14,9,4.67,0.6428571428571429,23,6,6,125.0,1.0,3.62,7.0,10,0.7,21,34,43,58,37,38.077791510327856,True,Low Contribution
S011,Arjun,T03,10,8,5.03,0.8,35,11,9,544.0,0.8181818181818182,4.06,9.0,10,0.9,30,53,75,100,70,76.72142080264875,False,
